# 8. Captain Digorie Piper's pavane — Chord Table

*Tuning (bass→treble): B1,D2,E2,A2,D3,F#3,B3,E4. Only beats with 3+ simultaneous notes shown.*

| Bar | Beat | Fingering       | Pitches                 | Chord Name       |
|-----|------|-----------------|-------------------------|------------------|
| 1   | 1    | - - a c c b a a | E2, B2, E3, G3, B3, E4  | E minor          |
| 2   | 1    | - - - - c - a d | E3, B3, G4              | E minor          |
| 2   | 5    | - - - g - a h h | D#3, F#3, F#4, B4       | B major          |
| 3   | 1    | - - - h f f f - | E3, G3, B3, E4          | E minor          |
| 3   | 5    | - - a - - - a d | E2, B3, G4              | E minor          |
| 4   | 1    | - - - c e - f c | B2, F#3, E4, F#4        | E (no 3rd)       |
| 5   | 1    | - - e - c - a a | G#2, E3, B3, E4         | E major          |
| 6   | 1    | - - a - c - a a | E2, E3, B3, E4          | E (no 3rd)       |
| 7   | 1    | - - a - c - a a | E2, E3, B3, E4          | E (no 3rd)       |
| 8   | 1    | - - a - - f i - | E2, B3, G4              | E minor          |
| 11  | 1    | - - d - a b d - | G2, D3, G3, D4          | G (no 3rd)       |
| 12  | 1    | - - - - a d d c | D3, A3, D4, F#4         | D major          |
| 12  | 5    | - - - - a a d f | D3, F#3, D4, A4         | D major          |
| 13  | 1    | - - a - c - a d | E2, E3, B3, G4          | E minor          |
| 13  | 5    | - - - c e f d c | B2, F#3, B3, D4, F#4    | B minor          |
| 14  | 1    | - - - d c b - - | C3, E3, G3              | C major          |
| 14  | 5    | - - - a - d b a | A2, A3, C4, E4          | A minor          |
| 15  | 1    | - - - c e - f - | B2, F#3, E4             | E (no 3rd)       |
| 16  | 1    | - - a c c c a a | E2, B2, E3, G#3, B3, E4 | E major          |
| 17  | 1    | - - a - - c a a | E2, G#3, B3, E4         | E major          |
| 18  | 1    | - - a - - b a a | E2, G3, B3, E4          | E minor          |
| 19  | 1    | - - - - c - a d | E3, B3, G4              | E minor          |
| 19  | 4    | - - - g - a a h | D#3, F#3, B3, B4        | B major          |
| 20  | 1    | - - - h f f f - | E3, G3, B3, E4          | E minor          |
| 21  | 1    | - - - c e - f c | B2, F#3, E4, F#4        | E (no 3rd)       |
| 22  | 1    | - - e - c - a a | G#2, E3, B3, E4         | E major          |
| 23  | 1    | - - a - c - a a | E2, E3, B3, E4          | E (no 3rd)       |
| 24  | 1    | - - a - - b a a | E2, G3, B3, E4          | E minor          |
| 27  | 1    | - - d - a - a h | G2, D3, B3, B4          | G major          |
| 30  | 1    | - - a - - - a d | E2, B3, G4              | E minor          |
| 32  | 1    | - - - c - f e c | B2, B3, D#4, F#4        | B major          |
| 33  | 1    | - - a - - - a a | E2, B3, E4              | E (no 3rd)       |
| 34  | 1    | - - a - - c a a | E2, G#3, B3, E4         | E major          |
| 35  | 1    | - - d - - f d d | G2, B3, D4, G4          | G major          |
| 36  | 1    | - - d - - f d d | G2, B3, D4, G4          | G major          |
| 36  | 7    | - - - - - f d d | B3, D4, G4              | G major          |
| 37  | 1    | - - - a - d b c | A2, A3, C4, F#4         | F# diminished    |
| 38  | 1    | - - - c e - f - | B2, F#3, E4             | E (no 3rd)       |
| 39  | 1    | - - a c c b a a | E2, B2, E3, G3, B3, E4  | E minor          |
| 40  | 1    | - - - - a d d c | D3, A3, D4, F#4         | D major          |
| 40  | 5    | - - - c - a d - | B2, F#3, D4             | B minor          |
| 41  | 1    | - - - d c - - a | C3, E3, E4              | C major (no 5th) |
| 42  | 1    | - - - c e f e - | B2, F#3, B3, D#4        | B major          |
| 43  | 5    | - - - - a d d - | D3, A3, D4              | D (no 3rd)       |
| 44  | 1    | - - - - a a - f | D3, F#3, A4             | D major          |
| 45  | 1    | - - - c b a a c | B2, D#3, F#3, B3, F#4   | B major          |
| 46  | 1    | - - - c - a d - | B2, F#3, D4             | B minor          |
| 47  | 1    | - - - c - a d - | B2, F#3, D4             | B minor          |
| 47  | 5    | - - d - a - a - | G2, D3, B3              | G major          |
| 49  | 1    | - - - c b a a - | B2, D#3, F#3, B3        | B major          |
| 50  | 1    | - - - c - a a - | B2, F#3, B3             | B (no 3rd)       |
| 51  | 1    | - - d - - f d d | G2, B3, D4, G4          | G major          |
| 52  | 1    | - - d - - f d d | G2, B3, D4, G4          | G major          |
| 53  | 1    | - - - a - d b c | A2, A3, C4, F#4         | F# diminished    |
| 54  | 1    | - - - c - f e c | B2, B3, D#4, F#4        | B major          |
| 55  | 1    | - - a - - b a a | E2, G3, B3, E4          | E minor          |
| 56  | 1    | - - - - a d d c | D3, A3, D4, F#4         | D major          |
| 56  | 5    | - - - c - a d - | B2, F#3, D4             | B minor          |
| 57  | 1    | - - - d - b - a | C3, G3, E4              | C major          |
| 58  | 1    | - - - c e f e - | B2, F#3, B3, D#4        | B major          |
| 59  | 5    | - - - - a d d - | D3, A3, D4              | D (no 3rd)       |
| 60  | 1    | - - - - a a - f | D3, F#3, A4             | D major          |
| 60  | 3    | - - a - - - a d | E2, B3, G4              | E minor          |
| 61  | 1    | - - - c b - a c | B2, D#3, B3, F#4        | B major          |
| 62  | 1    | - - - c - a d - | B2, F#3, D4             | B minor          |
| 62  | 3    | - - - b - a c - | A#2, F#3, C#4           | F# major         |
| 63  | 1    | - - - c - a d - | B2, F#3, D4             | B minor          |
| 63  | 2    | - - d - - b a - | G2, G3, B3              | G major (no 5th) |
| 64  | 1    | - - c - - e c c | F#2, A#3, C#4, F#4      | F# major         |
| 65  | 1    | - - - c - a a - | B2, F#3, B3             | B (no 3rd)       |
| 66  | 1    | - - - c - a a - | B2, F#3, B3             | B (no 3rd)       |
| 67  | 1    | - - d - f - d h | G2, G3, D4, B4          | G major          |
| 68  | 1    | - - d - f - d h | G2, G3, D4, B4          | G major          |
| 68  | 7    | - - d - f - d h | G2, G3, D4, B4          | G major          |
| 69  | 1    | - - - f e - d f | D3, F#3, D4, A4         | D major          |
| 69  | 4    | - - - - c - a d | E3, B3, G4              | E minor          |
| 69  | 5    | - - - c b - a c | B2, D#3, B3, F#4        | B major          |
| 70  | 1    | - - - - c - a a | E3, B3, E4              | E (no 3rd)       |
| 71  | 3    | - - - - c b a a | E3, G3, B3, E4          | E minor          |
| 71  | 5    | - - - - - b a a | G3, B3, E4              | E minor          |
| 72  | 1    | - - - d c b b - | C3, E3, G3, C4          | C major          |
| 72  | 7    | - - - d f g f - | C3, G3, C4, E4          | C major          |
| 73  | 3    | - - - c - b d - | B2, G3, D4              | G major          |
| 73  | 5    | - - - d f g f - | C3, G3, C4, E4          | C major          |
| 74  | 3    | - - - d f g f - | C3, G3, C4, E4          | C major          |
| 74  | 7    | - - - c - b d - | B2, G3, D4              | G major          |
| 75  | 1    | - - - d f g f - | C3, G3, C4, E4          | C major          |
| 75  | 6.5  | - - - a c - c - | A2, E3, C#4             | A major          |
| 76  | 1    | - - - c - a d - | B2, F#3, D4             | B minor          |
| 76  | 6.5  | - - h - - a a - | B2, F#3, B3             | B (no 3rd)       |
| 77  | 1    | - - - h - f f - | E3, B3, E4              | E (no 3rd)       |
| 78  | 1    | - - - d - b - a | C3, G3, E4              | C major          |
| 78  | 2    | - - - c - - d d | B2, D4, G4              | G major          |
| 79  | 1    | - - - - a d d c | D3, A3, D4, F#4         | D major          |
| 79  | 3.5  | - - - - - b a a | G3, B3, E4              | E minor          |
| 81  | 1    | - - a - c - a a | E2, E3, B3, E4          | E (no 3rd)       |
| 82  | 1    | - - a - - c a a | E2, G#3, B3, E4         | E major          |
