# 69. Loath to depart galliard — Chord Table

*Tuning (bass→treble): B1,D2,E2,A2,D3,F#3,B3,E4. Only beats with 3+ simultaneous notes shown.*

| Bar | Beat | Fingering       | Pitches                 | Chord Name        |
|-----|------|-----------------|-------------------------|-------------------|
| 1   | 1    | - - - c b a a c | B2, D#3, F#3, B3, F#4   | B major           |
| 1   | 5    | - - - c b a a c | B2, D#3, F#3, B3, F#4   | B major           |
| 2   | 1    | - - - c b a a c | B2, D#3, F#3, B3, F#4   | B major           |
| 2   | 5    | - a - - - a a h | D2, F#3, B3, B4         | B minor           |
| 3   | 1    | - - - - a a - f | D3, F#3, A4             | D major           |
| 3   | 5    | - - - - c - a d | E3, B3, G4              | E minor           |
| 4   | 1    | - - - c b a a c | B2, D#3, F#3, B3, F#4   | B major           |
| 5   | 1    | - - a c c b a a | E2, B2, E3, G3, B3, E4  | E minor           |
| 5   | 5    | - - a - c - a d | E2, E3, B3, G4          | E minor           |
| 6   | 1    | - - - c b a a c | B2, D#3, F#3, B3, F#4   | B major           |
| 6   | 5    | - - - d c b b a | C3, E3, G3, C4, E4      | C major           |
| 7   | 1    | - - d - f - d h | G2, G3, D4, B4          | G major           |
| 7   | 3    | - - - - a a - f | D3, F#3, A4             | D major           |
| 7   | 5    | - - - - c b a d | E3, G3, B3, G4          | E minor           |
| 8   | 1    | - - - c b a a c | B2, D#3, F#3, B3, F#4   | B major           |
| 8   | 5    | - - a c c b a a | E2, B2, E3, G3, B3, E4  | E minor           |
| 9   | 1    | - - - c b a a c | B2, D#3, F#3, B3, F#4   | B major           |
| 9   | 5    | - - - c b a a c | B2, D#3, F#3, B3, F#4   | B major           |
| 10  | 1    | - - - c b a a c | B2, D#3, F#3, B3, F#4   | B major           |
| 10  | 5    | - - d - f - d h | G2, G3, D4, B4          | G major           |
| 11  | 1    | - - - - a a - f | D3, F#3, A4             | D major           |
| 11  | 5    | - - - - c - a d | E3, B3, G4              | E minor           |
| 12  | 1    | - - - c b a a c | B2, D#3, F#3, B3, F#4   | B major           |
| 12  | 5    | - - - a - g f f | A2, C4, E4, A4          | A minor           |
| 13  | 1    | - - a - c - a d | E2, E3, B3, G4          | E minor           |
| 13  | 4    | - - c - - d - c | F#2, A3, F#4            | F# minor (no 5th) |
| 13  | 5    | - - d - - b - a | G2, G3, E4              | E minor (no 5th)  |
| 14  | 1    | - - - c - a e - | B2, F#3, D#4            | B major           |
| 14  | 5    | - - - c - a a - | B2, F#3, B3             | B (no 3rd)        |
| 16  | 1    | - - a - - c a a | E2, G#3, B3, E4         | E major           |
| 17  | 1    | - a - - - a a c | D2, F#3, B3, F#4        | B minor           |
| 17  | 3    | - a - - - a e - | D2, F#3, D#4            | D major (no 5th)  |
| 18  | 1    | - a - - - a - c | D2, F#3, F#4            | D major (no 5th)  |
| 19  | 3    | - - d - - d - c | G2, A3, F#4             | F# minor (no 5th) |
| 20  | 1    | - - - c - a e - | B2, F#3, D#4            | B major           |
| 21  | 3.5  | - - a - - - a d | E2, B3, G4              | E minor           |
| 22  | 4.5  | - - - d - b - a | C3, G3, E4              | C major           |
| 23  | 1    | - - d - - - f h | G2, E4, B4              | E minor           |
| 23  | 3    | - - - - c - a d | E3, B3, G4              | E minor           |
| 24  | 1    | - - - c b a a c | B2, D#3, F#3, B3, F#4   | B major           |
| 27  | 3    | - - - - a - d c | D3, D4, F#4             | D major (no 5th)  |
| 28  | 1    | - - - c - a e - | B2, F#3, D#4            | B major           |
| 29  | 1    | - - - - c - a d | E3, B3, G4              | E minor           |
