# Dowland Corpus — Period-Accurate Chord Voicings

*Source: 113 Poulton-numbered Dowland lute tablatures from lutemusic.org (CC BY-NC-SA 4.0)*
*Only chords with root + 3rd + 5th (+ 7th where applicable) are shown. Partial voicings excluded.*
*Voicings shown use the maximum number of strings found in the corpus.*
*Tab fingering: bass course on left → treble (course 1) on right. '-' = string not played.*
*Frets: same layout as Tab, but showing fret numbers (0 = open string).*
*Crs: total course slots in the fingering (6 = 6-course lute, 8 = 8-course lute).*

## Major

| Root | Str | Crs | Tab Fingering   | Frets           | Pitches                        | Appears In                                                                                                       |
|------|-----|-----|-----------------|-----------------|--------------------------------|------------------------------------------------------------------------------------------------------------------|
| C    | 5   | 8   | - - - d c b b a | - - - 3 2 1 1 0 | C3, E3, G3, C4, E4             | P.69 Loth To Depart; P.89 Can She Excuse Galliard 2                                                              |
| C    | 5   | 8   | - - - d f g f d | - - - 3 5 6 5 3 | C3, G3, C4, E4, G4             | P.76 A Galliard                                                                                                  |
| C    | 4   | 8   | - a - - f - f i | - 0 - - 5 - 5 8 | D2, G3, E4, C5                 | P.94 Pavane Jehan Douland                                                                                        |
| C#   | 6   | 8   | - c e e d c c - | - 2 4 4 3 2 2 - | E2, G#2, C#3, F3, G#3, C#4     | P.51 Untitled Almain                                                                                             |
| C#   | 5   | 8   | - - - e g h g e | - - - 4 6 7 6 4 | C#3, G#3, C#4, F4, G#4         | P.34 Mignarda Galliard                                                                                           |
| D    | 5   | 8   | - - - f e d d f | - - - 5 4 3 3 5 | D3, F#3, A3, D4, A4            | P.38 Lord Viscount Lisles Galliard; P.84 Hasellwood Galliard                                                     |
| D    | 4   | 8   | - a - - - d d c | - 0 - - - 3 3 2 | D2, A3, D4, F#4                | P.36 Mr Knights Galliard; P.38 Lord Viscount Lisles Galliard; P.97 Queens Galliard                               |
| D    | 4   | 8   | - a - - e d d - | - 0 - - 4 3 3 - | D2, F#3, A3, D4                | P.03 Farewell Fancy; P.71 Fantasy                                                                                |
| D    | 4   | 8   | - d - - - d d c | - 3 - - - 3 3 2 | F2, A3, D4, F#4                | P.04 Farewell An In Nomine                                                                                       |
| D    | 4   | 8   | - d - - e d d - | - 3 - - 4 3 3 - | F2, F#3, A3, D4                | P.17a Lady Russels Pavan                                                                                         |
| D#   | 4   | 8   | - - - - b e e d | - - - - 1 4 4 3 | D#3, A#3, D#4, G4              | P.14 John Langtons Pavan; P.14a Langton Pavane P                                                                 |
| E    | 6   | 8   | - - a c c c a a | - - 0 2 2 2 0 0 | E2, B2, E3, G#3, B3, E4        | P.02 Forlorne Hope 8C; P.08 Dowland Pipers Pavan; P.13a Dowlands Adieu; P.15 Lachrimae In G +21 more             |
